User,Id,Target,Screen_Id,Parent,Grant,,,,,,,,,,,,,,,,,,,,
user,25,component,give-feedback-comp,home,Write,,,,,,,,,,,,,,,,,,,,
user,26,module,customer-dashboard,dashboard,Read,,,,,,,,,,,,,,,,,,,,
user,27,component,customer-dashboard-comp,customer-dashboard,Read,,,,,,,,,,,,,,,,,,,,
user,28,component,document-upload-history-comp,customer-dashboard,Read,,,,,,,,,,,,,,,,,,,,
user,29,component,last-uploaded-doc-comp,customer-dashboard,Read,,,,,,,,,,,,,,,,,,,,
user,30,component,new-document-upload-comp,customer-dashboard,Write,,,,,,,,,,,,,,,,,,,,
user,31,component,new-joinder-upload-comp,customer-dashboard,Write,,,,,,,,,,,,,,,,,,,,
user,32,component,document-stats-comp,customer-dashboard,Read,,,,,,,,,,,,,,,,,,,,
user,33,module,pe-dashboard,dashboard,Read,,,,,,,,,,,,,,,,,,,,
user,34,component,pe-dashboard-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
user,35,component,document-status-metrics-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
user,36,component,document-upload-negotiation-history-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
user,37,component,negotiation-timeline-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
user,38,component,document-upload-intake-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
user,39,component,joinder-upload-intake-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
user,40,module,platform-admin-dashboard,dashboard,No,,,,,,,,,,,,,,,,,,,,
user,41,component,platform-admin-dashboard-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
user,42,component,batch-detail-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
user,43,component,batch-list-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
user,44,component,delete-batch-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
user,45,component,new-document-batch-upload-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
user,46,component,platform-document-upload-history-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
user,47,component,update-batch-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
user,48,component,upload-batch-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
user,49,component,upload-doc-stats-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
user,50,component,uploaded-batch-summary-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
user,51,module,user-management,null,No,,,,,,,,,,,,,,,,,,,,
user,52,component,user-management-comp,user-management,No,,,,,,,,,,,,,,,,,,,,
user,53,component,user-add-edit-comp,user-management,No,,,,,,,,,,,,,,,,,,,,
user,54,component,user-delete-comp,user-management,No,,,,,,,,,,,,,,,,,,,,
user,55,component,user-list-comp,user-management,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,56,module,analytics,null,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,57,component,analytics-overview-comp,analytics,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,58,component,document-processing-time-comp,analytics,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,59,module,action-logs,null,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,60,component,action-logs-comp,action-logs,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,61,module,account-management,null,Read,,,,,,,,,,,,,,,,,,,,
contract reviewer,62,component,account-management-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
contract reviewer,63,component,activation-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
contract reviewer,64,component,delighted-survey-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
contract reviewer,65,component,forgot-password-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
contract reviewer,66,component,login-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
contract reviewer,67,component,reset-password-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
contract reviewer,68,module,customer-onboarding,null,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,69,component,customer-onboarding-comp,customer-onboarding,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,70,component,add-user-comp,customer-onboarding,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,71,component,create-customer-comp,customer-onboarding,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,72,component,customize-playbook-comp,customer-onboarding,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,73,component,onboarding-confirmation-comp,customer-onboarding,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,74,component,select-subscription-comp,customer-onboarding,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,75,module,dashboard,null,Read,,,,,,,,,,,,,,,,,,,,
contract reviewer,76,component,dashboard-comp,dashboard,Read,,,,,,,,,,,,,,,,,,,,
contract reviewer,77,module,home-comp,null,Read,,,,,,,,,,,,,,,,,,,,
contract reviewer,78,component,change-password-comp,home,Write,,,,,,,,,,,,,,,,,,,,
contract reviewer,79,component,edit-profile-comp,home,Write,,,,,,,,,,,,,,,,,,,,
contract reviewer,80,component,give-feedback-comp,home,Write,,,,,,,,,,,,,,,,,,,,
contract reviewer,81,module,customer-dashboard,dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,82,component,customer-dashboard-comp,customer-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,83,component,document-upload-history-comp,customer-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,84,component,last-uploaded-doc-comp,customer-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,85,component,new-document-upload-comp,customer-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,86,component,new-joinder-upload-comp,customer-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,87,component,document-stats-comp,customer-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,88,module,pe-dashboard,dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,89,component,pe-dashboard-comp,pe-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,90,component,document-status-metrics-comp,pe-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,91,component,document-upload-negotiation-history-comp,pe-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,92,component,negotiation-timeline-comp,pe-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,93,component,document-upload-intake-comp,pe-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,94,component,joinder-upload-intake-comp,pe-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,95,module,platform-admin-dashboard,dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,96,component,platform-admin-dashboard-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,97,component,batch-detail-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,98,component,batch-list-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,99,component,delete-batch-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,100,component,new-document-batch-upload-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,101,component,platform-document-upload-history-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,102,component,update-batch-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,103,component,upload-batch-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,104,component,upload-doc-stats-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,105,component,uploaded-batch-summary-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,106,module,user-management,null,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,107,component,user-management-comp,user-management,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,108,component,user-add-edit-comp,user-management,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,109,component,user-delete-comp,user-management,No,,,,,,,,,,,,,,,,,,,,
contract reviewer,110,component,user-list-comp,user-management,No,,,,,,,,,,,,,,,,,,,,
customer admin,111,module,analytics,null,Read,,,,,,,,,,,,,,,,,,,,
customer admin,112,component,analytics-overview-comp,analytics,Read,,,,,,,,,,,,,,,,,,,,
customer admin,113,component,document-processing-time-comp,analytics,Read,,,,,,,,,,,,,,,,,,,,
customer admin,114,module,action-logs,null,Read,,,,,,,,,,,,,,,,,,,,
customer admin,115,component,action-logs-comp,action-logs,Read,,,,,,,,,,,,,,,,,,,,
customer admin,116,module,account-management,null,Write,,,,,,,,,,,,,,,,,,,,
customer admin,117,component,account-management-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
customer admin,118,component,activation-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
customer admin,119,component,delighted-survey-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
customer admin,120,component,forgot-password-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
customer admin,121,component,login-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
customer admin,122,component,reset-password-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
customer admin,123,module,customer-onboarding,null,Write,,,,,,,,,,,,,,,,,,,,
customer admin,124,component,customer-onboarding-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
customer admin,125,component,add-user-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
customer admin,126,component,create-customer-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
customer admin,127,component,customize-playbook-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
customer admin,128,component,onboarding-confirmation-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
customer admin,129,component,select-subscription-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
customer admin,130,module,dashboard,null,Read,,,,,,,,,,,,,,,,,,,,
customer admin,131,customer-user,dashboard-comp,dashboard,Read,,,,,,,,,,,,,,,,,,,,
customer admin,132,module,home-comp,null,Read,,,,,,,,,,,,,,,,,,,,
customer admin,133,customer-user,change-password-comp,home,Write,,,,,,,,,,,,,,,,,,,,
customer admin,134,component,edit-profile-comp,home,Write,,,,,,,,,,,,,,,,,,,,
customer admin,135,component,give-feedback-comp,home,Write,,,,,,,,,,,,,,,,,,,,
customer admin,136,module,customer-dashboard,dashboard,Read,,,,,,,,,,,,,,,,,,,,
customer admin,137,component,customer-dashboard-comp,customer-dashboard,Read,,,,,,,,,,,,,,,,,,,,
customer admin,138,component,document-upload-history-comp,customer-dashboard,Read,,,,,,,,,,,,,,,,,,,,
customer admin,139,component,last-uploaded-doc-comp,customer-dashboard,Read,,,,,,,,,,,,,,,,,,,,
customer admin,140,component,new-document-upload-comp,customer-dashboard,Write,,,,,,,,,,,,,,,,,,,,
customer admin,141,component,new-joinder-upload-comp,customer-dashboard,Write,,,,,,,,,,,,,,,,,,,,
customer admin,142,component,document-stats-comp,customer-dashboard,Read,,,,,,,,,,,,,,,,,,,,
customer admin,143,module,pe-dashboard,dashboard,Read,,,,,,,,,,,,,,,,,,,,
customer admin,144,component,pe-dashboard-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
customer admin,145,component,document-status-metrics-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
customer admin,146,component,document-upload-negotiation-history-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
customer admin,147,component,negotiation-timeline-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
customer admin,148,component,document-upload-intake-comp,pe-dashboard,Write,,,,,,,,,,,,,,,,,,,,
customer admin,149,component,joinder-upload-intake-comp,pe-dashboard,Write,,,,,,,,,,,,,,,,,,,,
customer admin,150,module,platform-admin-dashboard,dashboard,No,,,,,,,,,,,,,,,,,,,,
customer admin,151,component,platform-admin-dashboard-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
customer admin,152,component,batch-detail-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
customer admin,153,component,batch-list-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
customer admin,154,component,delete-batch-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
customer admin,155,component,new-document-batch-upload-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
customer admin,156,component,platform-document-upload-history-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
customer admin,157,component,update-batch-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
customer admin,158,component,upload-batch-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
customer admin,159,component,upload-doc-stats-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
customer admin,160,component,uploaded-batch-summary-comp,platform-admin-dashboard,No,,,,,,,,,,,,,,,,,,,,
customer admin,161,module,user-management,null,Read,,,,,,,,,,,,,,,,,,,,
customer admin,162,component,user-management-comp,user-management,Write,,,,,,,,,,,,,,,,,,,,
customer admin,163,component,user-add-edit-comp,user-management,Write,,,,,,,,,,,,,,,,,,,,
customer admin,164,component,user-delete-comp,user-management,Write,,,,,,,,,,,,,,,,,,,,
customer admin,165,component,user-list-comp,user-management,Write,,,,,,,,,,,,,,,,,,,,
platform admin,166,module,analytics,null,Read,,,,,,,,,,,,,,,,,,,,
platform admin,167,component,analytics-overview-comp,analytics,Read,,,,,,,,,,,,,,,,,,,,
platform admin,168,component,document-processing-time-comp,analytics,Read,,,,,,,,,,,,,,,,,,,,
platform admin,169,module,action-logs,null,Read,,,,,,,,,,,,,,,,,,,,
platform admin,170,component,action-logs-comp,action-logs,Read,,,,,,,,,,,,,,,,,,,,
platform admin,171,module,account-management,null,Write,,,,,,,,,,,,,,,,,,,,
platform admin,172,component,account-management-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
platform admin,173,component,activation-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
platform admin,174,component,delighted-survey-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
platform admin,175,component,forgot-password-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
platform admin,176,component,login-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
platform admin,177,component,reset-password-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
platform admin,178,module,customer-onboarding,null,Write,,,,,,,,,,,,,,,,,,,,
platform admin,179,component,customer-onboarding-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
platform admin,180,component,add-user-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
platform admin,181,component,create-customer-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
platform admin,182,component,customize-playbook-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
platform admin,183,component,onboarding-confirmation-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
platform admin,184,component,select-subscription-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
platform admin,185,module,dashboard,null,Read,,,,,,,,,,,,,,,,,,,,
platform admin,186,customer-user,dashboard-comp,dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,187,module,home-comp,null,Read,,,,,,,,,,,,,,,,,,,,
platform admin,188,customer-user,change-password-comp,home,Write,,,,,,,,,,,,,,,,,,,,
platform admin,189,component,edit-profile-comp,home,Write,,,,,,,,,,,,,,,,,,,,
platform admin,190,component,give-feedback-comp,home,Write,,,,,,,,,,,,,,,,,,,,
platform admin,191,module,customer-dashboard,dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,192,component,customer-dashboard-comp,customer-dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,193,component,document-upload-history-comp,customer-dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,194,component,last-uploaded-doc-comp,customer-dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,195,component,new-document-upload-comp,customer-dashboard,Write,,,,,,,,,,,,,,,,,,,,
platform admin,196,component,new-joinder-upload-comp,customer-dashboard,Write,,,,,,,,,,,,,,,,,,,,
platform admin,197,component,document-stats-comp,customer-dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,198,module,pe-dashboard,dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,199,component,pe-dashboard-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,200,component,document-status-metrics-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,201,component,document-upload-negotiation-history-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,202,component,negotiation-timeline-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,203,component,document-upload-intake-comp,pe-dashboard,Write,,,,,,,,,,,,,,,,,,,,
platform admin,204,component,joinder-upload-intake-comp,pe-dashboard,Write,,,,,,,,,,,,,,,,,,,,
platform admin,205,module,platform-admin-dashboard,dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,206,component,platform-admin-dashboard-comp,platform-admin-dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,207,component,batch-detail-comp,platform-admin-dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,208,component,batch-list-comp,platform-admin-dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,209,component,delete-batch-comp,platform-admin-dashboard,Write,,,,,,,,,,,,,,,,,,,,
platform admin,210,component,new-document-batch-upload-comp,platform-admin-dashboard,Write,,,,,,,,,,,,,,,,,,,,
platform admin,211,component,platform-document-upload-history-comp,platform-admin-dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,212,component,update-batch-comp,platform-admin-dashboard,Write,,,,,,,,,,,,,,,,,,,,
platform admin,213,component,upload-batch-comp,platform-admin-dashboard,Write,,,,,,,,,,,,,,,,,,,,
platform admin,214,component,upload-doc-stats-comp,platform-admin-dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,215,component,uploaded-batch-summary-comp,platform-admin-dashboard,Read,,,,,,,,,,,,,,,,,,,,
platform admin,216,module,user-management,null,Read,,,,,,,,,,,,,,,,,,,,
platform admin,217,component,user-management-comp,user-management,Write,,,,,,,,,,,,,,,,,,,,
platform admin,218,component,user-add-edit-comp,user-management,Write,,,,,,,,,,,,,,,,,,,,
platform admin,219,component,user-delete-comp,user-management,Write,,,,,,,,,,,,,,,,,,,,
platform admin,220,component,user-list-comp,user-management,Write,,,,,,,,,,,,,,,,,,,,
platform admin,277,component,history-comp,null,Write,,,,,,,,,,,,,,,,,,,,
platform admin,279,component,customer-admin-comp,null,Write,,,,,,,,,,,,,,,,,,,,
platform admin,280,component,doc-admin-comp,null,Write,,,,,,,,,,,,,,,,,,,,
platform admin,281,component,doc-tag-comp,null,Write,,,,,,,,,,,,,,,,,,,,
admin,221,module,analytics,null,Read,,,,,,,,,,,,,,,,,,,,
admin,222,component,analytics-overview-comp,analytics,Read,,,,,,,,,,,,,,,,,,,,
admin,223,component,document-processing-time-comp,analytics,Read,,,,,,,,,,,,,,,,,,,,
admin,224,module,action-logs,null,Read,,,,,,,,,,,,,,,,,,,,
admin,225,component,action-logs-comp,action-logs,Read,,,,,,,,,,,,,,,,,,,,
admin,226,module,account-management,null,Write,,,,,,,,,,,,,,,,,,,,
admin,227,component,account-management-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
admin,228,component,activation-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
admin,229,component,delighted-survey-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
admin,230,component,forgot-password-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
admin,231,component,login-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
admin,232,component,reset-password-comp,account-management,Write,,,,,,,,,,,,,,,,,,,,
admin,233,module,customer-onboarding,null,Write,,,,,,,,,,,,,,,,,,,,
admin,234,component,customer-onboarding-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
admin,235,component,add-user-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
admin,236,component,create-customer-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
admin,237,component,customize-playbook-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
admin,238,component,onboarding-confirmation-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
admin,239,component,select-subscription-comp,customer-onboarding,Write,,,,,,,,,,,,,,,,,,,,
admin,240,module,dashboard,null,Read,,,,,,,,,,,,,,,,,,,,
admin,241,customer-user,dashboard-comp,dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,242,module,home-comp,null,Read,,,,,,,,,,,,,,,,,,,,
admin,243,customer-user,change-password-comp,home,Write,,,,,,,,,,,,,,,,,,,,
admin,244,component,edit-profile-comp,home,Write,,,,,,,,,,,,,,,,,,,,
admin,245,component,give-feedback-comp,home,Write,,,,,,,,,,,,,,,,,,,,
admin,246,module,customer-dashboard,dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,247,component,customer-dashboard-comp,customer-dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,248,component,document-upload-history-comp,customer-dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,249,component,last-uploaded-doc-comp,customer-dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,250,component,new-document-upload-comp,customer-dashboard,Write,,,,,,,,,,,,,,,,,,,,
admin,251,component,new-joinder-upload-comp,customer-dashboard,Write,,,,,,,,,,,,,,,,,,,,
admin,252,component,document-stats-comp,customer-dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,253,module,pe-dashboard,dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,254,component,pe-dashboard-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,255,component,document-status-metrics-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,256,component,document-upload-negotiation-history-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,257,component,negotiation-timeline-comp,pe-dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,258,component,document-upload-intake-comp,pe-dashboard,Write,,,,,,,,,,,,,,,,,,,,
admin,259,component,joinder-upload-intake-comp,pe-dashboard,Write,,,,,,,,,,,,,,,,,,,,
admin,260,module,platform-admin-dashboard,dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,261,component,platform-admin-dashboard-comp,platform-admin-dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,262,component,batch-detail-comp,platform-admin-dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,263,component,batch-list-comp,platform-admin-dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,264,component,delete-batch-comp,platform-admin-dashboard,Write,,,,,,,,,,,,,,,,,,,,
admin,265,component,new-document-batch-upload-comp,platform-admin-dashboard,Write,,,,,,,,,,,,,,,,,,,,
admin,266,component,platform-document-upload-history-comp,platform-admin-dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,267,component,update-batch-comp,platform-admin-dashboard,Write,,,,,,,,,,,,,,,,,,,,
admin,268,component,upload-batch-comp,platform-admin-dashboard,Write,,,,,,,,,,,,,,,,,,,,
admin,269,component,upload-doc-stats-comp,platform-admin-dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,270,component,uploaded-batch-summary-comp,platform-admin-dashboard,Read,,,,,,,,,,,,,,,,,,,,
admin,271,module,user-management,null,Read,,,,,,,,,,,,,,,,,,,,
admin,272,component,user-management-comp,user-management,Write,,,,,,,,,,,,,,,,,,,,
admin,273,component,user-add-edit-comp,user-management,Write,,,,,,,,,,,,,,,,,,,,
admin,274,component,user-delete-comp,user-management,Write,,,,,,,,,,,,,,,,,,,,
admin,275,component,user-list-comp,user-management,Write,,,,,,,,,,,,,,,,,,,,
admin,276,component,history-comp,null,Write,,,,,,,,,,,,,,,,,,,,
admin,278,component,customer-admin-comp,null,Write,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
